period,ratio,keyword,gender
2025-05-01,0.1345,우베,남성
2025-06-01,0.12805,우베,남성
2025-07-01,0.24753,우베,남성
2025-08-01,0.15669,우베,남성
2025-09-01,0.1453,우베,남성
2025-10-01,0.12136,우베,남성
2025-11-01,0.10246,우베,남성
2025-12-01,0.12054,우베,남성
2026-01-01,0.30716,우베,남성
2026-02-01,0.19436,우베,남성
2026-03-01,2.6777,우베,남성
2026-04-01,9.87292,우베,남성
2025-05-01,0.18885,샌드베이글,남성
2025-06-01,0.21103,샌드베이글,남성
2025-07-01,0.19131,샌드베이글,남성
2025-08-01,0.22723,샌드베이글,남성
2025-09-01,0.21432,샌드베이글,남성
2025-10-01,0.19166,샌드베이글,남성
2025-11-01,0.18638,샌드베이글,남성
2025-12-01,0.19178,샌드베이글,남성
2026-01-01,0.20176,샌드베이글,남성
2026-02-01,0.18673,샌드베이글,남성
2026-03-01,0.33932,샌드베이글,남성
2026-04-01,0.33662,샌드베이글,남성
2025-05-01,1.39354,창억떡,남성
2025-06-01,1.06056,창억떡,남성
2025-07-01,0.95293,창억떡,남성
2025-08-01,1.08157,창억떡,남성
2025-09-01,1.86643,창억떡,남성
2025-10-01,1.5061,창억떡,남성
2025-11-01,1.21772,창억떡,남성
2025-12-01,1.27629,창억떡,남성
2026-01-01,1.60164,창억떡,남성
2026-02-01,2.10704,창억떡,남성
2026-03-01,16.01378,창억떡,남성
2026-04-01,13.70673,창억떡,남성
2025-05-01,0.00176,버터떡,남성
2025-06-01,0.00011,버터떡,남성
2025-07-01,0.00011,버터떡,남성
2025-08-01,0.00011,버터떡,남성
2025-09-01,0.00117,버터떡,남성
2025-10-01,0.0014,버터떡,남성
2025-11-01,0.00011,버터떡,남성
2025-12-01,0.00176,버터떡,남성
2026-01-01,0.00927,버터떡,남성
2026-02-01,0.08356,버터떡,남성
2026-03-01,46.18736,버터떡,남성
2026-04-01,10.28172,버터떡,남성
2025-05-01,1.51831,두바이쫀득쿠키,남성
2025-06-01,1.45047,두바이쫀득쿠키,남성
2025-07-01,1.41866,두바이쫀득쿠키,남성
2025-08-01,1.96913,두바이쫀득쿠키,남성
2025-09-01,2.5804,두바이쫀득쿠키,남성
2025-10-01,4.129,두바이쫀득쿠키,남성
2025-11-01,10.97421,두바이쫀득쿠키,남성
2025-12-01,56.82214,두바이쫀득쿠키,남성
2026-01-01,100.0,두바이쫀득쿠키,남성
2026-02-01,15.72634,두바이쫀득쿠키,남성
2026-03-01,4.49532,두바이쫀득쿠키,남성
2026-04-01,1.42758,두바이쫀득쿠키,남성
2025-05-01,0.82471,저당,남성
2025-06-01,0.82645,저당,남성
2025-07-01,0.83133,저당,남성
2025-08-01,0.81042,저당,남성
2025-09-01,0.77974,저당,남성
2025-10-01,0.68946,저당,남성
2025-11-01,0.61313,저당,남성
2025-12-01,0.68214,저당,남성
2026-01-01,0.63683,저당,남성
2026-02-01,0.53191,저당,남성
2026-03-01,0.53226,저당,남성
2026-04-01,0.44024,저당,남성
2025-05-01,0.99934,봄동비빔밥,남성
2025-06-01,0.56398,봄동비빔밥,남성
2025-07-01,0.4256,봄동비빔밥,남성
2025-08-01,0.55596,봄동비빔밥,남성
2025-09-01,0.63125,봄동비빔밥,남성
2025-10-01,0.97877,봄동비빔밥,남성
2025-11-01,2.00217,봄동비빔밥,남성
2025-12-01,2.53757,봄동비빔밥,남성
2026-01-01,4.98905,봄동비빔밥,남성
2026-02-01,50.96867,봄동비빔밥,남성
2026-03-01,100.0,봄동비빔밥,남성
2026-04-01,5.06295,봄동비빔밥,남성
2025-05-01,0.1652,우베,여성
2025-06-01,0.18094,우베,여성
2025-07-01,0.28949,우베,여성
2025-08-01,0.21985,우베,여성
2025-09-01,0.23983,우베,여성
2025-10-01,0.15177,우베,여성
2025-11-01,0.12903,우베,여성
2025-12-01,0.13647,우베,여성
2026-01-01,0.3046,우베,여성
2026-02-01,0.23271,우베,여성
2026-03-01,2.62454,우베,여성
2026-04-01,14.63485,우베,여성
2025-05-01,0.85911,샌드베이글,여성
2025-06-01,0.88053,샌드베이글,여성
2025-07-01,0.87422,샌드베이글,여성
2025-08-01,0.95573,샌드베이글,여성
2025-09-01,0.93649,샌드베이글,여성
2025-10-01,0.73588,샌드베이글,여성
2025-11-01,0.72432,샌드베이글,여성
2025-12-01,0.78466,샌드베이글,여성
2026-01-01,0.91207,샌드베이글,여성
2026-02-01,0.81857,샌드베이글,여성
2026-03-01,1.4013,샌드베이글,여성
2026-04-01,1.35446,샌드베이글,여성
2025-05-01,3.55242,창억떡,여성
2025-06-01,2.68469,창억떡,여성
2025-07-01,2.44348,창억떡,여성
2025-08-01,2.73085,창억떡,여성
2025-09-01,5.17002,창억떡,여성
2025-10-01,3.72374,창억떡,여성
2025-11-01,3.01897,창억떡,여성
2025-12-01,3.17386,창억떡,여성
2026-01-01,4.15283,창억떡,여성
2026-02-01,4.82713,창억떡,여성
2026-03-01,35.77602,창억떡,여성
2026-04-01,25.65345,창억떡,여성
2025-05-01,0.00243,버터떡,여성
2025-06-01,0.00106,버터떡,여성
2025-07-01,0.00087,버터떡,여성
2025-08-01,0.00124,버터떡,여성
2025-09-01,0.00362,버터떡,여성
2025-10-01,0.00412,버터떡,여성
2025-11-01,0.00043,버터떡,여성
2025-12-01,0.00618,버터떡,여성
2026-01-01,0.05696,버터떡,여성
2026-02-01,0.20648,버터떡,여성
2026-03-01,53.16883,버터떡,여성
2026-04-01,12.13653,버터떡,여성
2025-05-01,2.16111,두바이쫀득쿠키,여성
2025-06-01,2.19739,두바이쫀득쿠키,여성
2025-07-01,2.504,두바이쫀득쿠키,여성
2025-08-01,5.23185,두바이쫀득쿠키,여성
2025-09-01,6.78462,두바이쫀득쿠키,여성
2025-10-01,10.21488,두바이쫀득쿠키,여성
2025-11-01,21.7555,두바이쫀득쿠키,여성
2025-12-01,78.28483,두바이쫀득쿠키,여성
2026-01-01,100.0,두바이쫀득쿠키,여성
2026-02-01,17.32817,두바이쫀득쿠키,여성
2026-03-01,4.72207,두바이쫀득쿠키,여성
2026-04-01,1.55751,두바이쫀득쿠키,여성
2025-05-01,0.51936,저당,여성
2025-06-01,0.47791,저당,여성
2025-07-01,0.52423,저당,여성
2025-08-01,0.48217,저당,여성
2025-09-01,0.51143,저당,여성
2025-10-01,0.38878,저당,여성
2025-11-01,0.35965,저당,여성
2025-12-01,0.35331,저당,여성
2026-01-01,0.35221,저당,여성
2026-02-01,0.31722,저당,여성
2026-03-01,0.31344,저당,여성
2026-04-01,0.26394,저당,여성
2025-05-01,0.46681,봄동비빔밥,여성
2025-06-01,0.25126,봄동비빔밥,여성
2025-07-01,0.19104,봄동비빔밥,여성
2025-08-01,0.21969,봄동비빔밥,여성
2025-09-01,0.25809,봄동비빔밥,여성
2025-10-01,0.6915,봄동비빔밥,여성
2025-11-01,1.97174,봄동비빔밥,여성
2025-12-01,2.51695,봄동비빔밥,여성
2026-01-01,6.10847,봄동비빔밥,여성
2026-02-01,42.83195,봄동비빔밥,여성
2026-03-01,100.0,봄동비빔밥,여성
2026-04-01,4.11661,봄동비빔밥,여성
